parameter,n=19,n=38,n=57,full,literature_ref
water_temp,19.8 +- 0.8,20.0 +- 0.2,20.0 +- 0.0,20.0,20.0
air_temp,20.1 +- 1.9,20.3 +- 0.8,20.6 +- 0.5,20.7,20.0
DO,5.6 +- 0.5,5.7 +- 0.4,5.8 +- 0.4,6.0,6.0
EC,1.5 +- 0.2,1.5 +- 0.1,1.5 +- 0.0,1.5,1.2
pH,5.9 +- 0.3,5.9 +- 0.1,5.9 +- 0.1,5.9,6.0
PPFD,271.6 +- 35.3,286.6 +- 20.7,289.1 +- 18.8,300.0,300.0
photoperiod,14.2 +- 1.8,14.2 +- 1.5,14.2 +- 1.2,14.0,16.0
DLI,15.8 +- 3.8,14.9 +- 3.5,14.3 +- 3.0,13.0,20.0

"# 100 random draws per size, seed 42; the full corpus is the internal reference, the literature column is context only"
